"","HEI","Title","Description"
"1","Universidade de Aveiro","Sustainable recycling of Expanded Polystyrene","Sustainable recycling of expanded polystyrene from packaging"
"2","Universidad de Santiago de Chile","Environmental Micro-Architecture","Architectural component for high-rise facades with the capacity to remove atmospheric pollution"
"3","Universidad de Santiago de Chile","Plastic Architecture","Brick-type architectural component made from upcycled recycled HDPE plastic with environmental functions"
"4","Universidad de Santiago de Chile","Photocatalytic HDPE Cladding","Slat-type cladding made from recycled HDPE for degradation of atmospheric pollutants"
"5","Universidad de Santiago de Chile","SUMI Panel","Acoustic panel manufactured from HDPE plastic waste"
"6","Universidad de Santiago de Chile","Recycled Plastic Acoustic Resonator","Recycled plastic acoustic resonator for workspaces"
"7","Universidad de Santiago de Chile","Juan Fernández Circular","Prototyping useful products from recycled plastics for the Juan Fernández Archipelago community"
"8","Universidad de Santiago de Chile","PALF: Modular Photovoltaic Tile","Self-sufficient lighting system using recycled plastic and solar energy for critical campus areas"
"9","Universidad de Santiago de Chile","Virtual recycling plant for circular economy learning","Interactive experience for understanding recycling processes and circular economy"
"10","Universidad de Santiago de Chile","AI virtual teaching assistants for innovation courses","Intelligent support for learning creativity and innovation"
"11","Universidad de Santiago de Chile","Local plastic recycling for additive manufacturing","Applied circular economy in innovation spaces"
"12","Universidad de Santiago de Chile","Circular economy management in companies","Integrating circularity into organizational processes"
"13","Universidad de Santiago de Chile","Sustainable innovation project management methodologies","Structuring and managing innovation projects through agile and sustainability-driven approaches"
"14","Universidad de Santiago de Chile","Sustainable design of common pool resource supply chains","Design and modeling approaches for the sustainable management of shared resources"
"15","Universidad de Santiago de Chile","Sustainable innovation management","Strategic integration of sustainability, innovation and value creation in organizations and startups"
"16","Universidad Nacional del Sur","Plastics WEEE recycling","Value added of plastic from waste electrical and electronic equipment"
"17","Universidad Nacional del Sur","Sensors for Smart Packaging","FLEXIBLE GRAPHENE-BASED FILMS FOR BACTERIAL DETECTION IN MEAT"
"18","Universidad Nacional del Sur","Multilayer Mono-material Packaging","MULTILAYER POLYOLEFIN-BASED COMPOSITE PACKAGING WITH TAILORED PROPERTIES"
"19","Universidad Nacional del Sur","Starch Films","STARCH FILMS WITH SPECIFIC FUNCTIONALITIES"
"20","Universidad Nacional del Sur","Polymer Blends","EXTRUSION, INJECTION AND BLOW MOLDING OF TAILORED THERMOPLASTIC BLENDS"
"21","Universidad Nacional del Sur","Polyhydroxyalkanoates PHAs","BIOSYNTHESIS OF POLYHYDROXYALKANOATES AND COPOLYMERS"
"22","Universidad Nacional del Sur","Plastic WEEE Recycling","ADDED VALUE TO PLASTIC WASTE FROM ELECTRICAL AND ELECTRONIC EQUIPMENT"
"23","Universidad Nacional del Sur","Plastic Paper","WRITABLE, PRINTABLE AND PAINTABLE POLYOLEFIN PLASTIC FILMS"
"24","Universidad Nacional del Sur","Plastic Packaging with Prolonged Repellent Activity","FLEXIBLE ACTIVE PACKAGING WITH REPELLENT CONTROLLED RELEASE"
"25","Universidad Nacional del Sur","New Materials for MAP","MATERIALS WITH REGULATED PERMEABILITY FOR PACKAGING UNDER MODIFIED ATMOSPHERE (MAP)"
"26","Universidad Nacional del Sur","Glyphosate Containers Recycling","SUSTAINABLE PROCESS FOR RECYCLING PLASTIC GLYPHOSATE CONTAINERS"
"27","Universidad Nacional del Sur","Fuels From Plastics","FUEL PRODUCTION BY THERMAL CRACKING OF WASTE PLASTICS"
"28","Universidad Nacional del Sur","Flexible Polymer Packaging","FLEXIBLE THERMO SEALED PACKAGING FOR FRESH FRUITS PRESERVATION WITHOUT REFRIGERATION"
"29","Universidad Nacional del Sur","Films for Fruits Dehydration","FRUITS DEHYDRATION USING BIODEGRADABLE FILMS WITH SELECTIVE GASES PERMEABILITY"
"30","Universidad Nacional del Sur","Biopolymeric Coatings","BIOPOLYMERIC COATINGS FORMULATIONS WITH CUSTOMIZED FUNCTIONALITIES"
"31","Universidad Nacional de Río Negro","SEMMIoTicAR","Portable microfluidic sensor for environmental microplastics IoT monitoring"
"32","Universidad Nacional de Córdoba","Biodegradable Cellulose Foams","Development of cellulose insulating foams"
"33","Universidad Nacional de Colombia","Production of bio-based monomers","Synthesis of monomers from vegetable oils and used cooking oil"
"34","Universidad Nacional de Colombia","Bio-based plasticizers for PVC","Production of ester and epoxide plasticizers from vegetable oils"
"35","Universidad Nacional de Colombia","Breathable biodegradable bag for fruits (Actipack)","Packaging with controlled gas transmission for fresh fruit export"
"36","Universidad Nacional de Colombia","Biodegradable packaging","Flexible and rigid packaging from Amazonian starch and agro-waste"
"37","Universidad Nacional de Colombia","Active packaging with natural fibers","Biodegradable containers with natural microfibers and preservative compounds"
"38","Universidad Central","Bioplastic Development","Bioplastic Prototype Analysis"
"39","Universidad Nacional de Río Negro","Bioprospecting for polymer-degrading microorganisms","Development of microbial consortia that degrade common synthetic polymers for environmental bioremediation"
"40","Pontificia Universidad Católica de Valparaíso (PUCV)","Waste Transformation Prototypes","Development of materials from recycled PLA, MDF and cardboard"
"41","Pontificia Universidad Católica de Valparaíso (PUCV)","Ceramic pellets for 3D printing","Ceramic pellets for FDM printing of telecom antennas"
"42","Pontificia Universidad Católica de Valparaíso (PUCV)","Waste Collection Optimization Platform","Optimizes Routes and Waste Management for Municipalities"
"43","Pontificia Universidad Católica de Valparaíso (PUCV)","Autonomous Beach Cleaning Vehicle","Efficient autonomous prototype for beach waste collection"
"44","Pontificia Universidad Católica de Valparaíso (PUCV)","Anticorrosive polymer with metal nanoparticles","Polymeric coating with metal nanoparticles against biocorrosion"
"45","Pontificia Universidad Católica de Valparaíso (PUCV)","Method to detect microplastics","identify and quantify microplastics in organic samples"
"46","Pontificia Universidad Católica de Valparaíso (PUCV)","Microplastics baseline in sediment","Chronological method to track plastics in Valparaíso bay"
"47","Pontificia Universidad Católica de Valparaíso (PUCV)","Bacterial bioplastic and degradation","Development and biodegradability of PHBV polymer"
"48","Pontificia Universidad Católica de Valparaíso (PUCV)","PUCV plastic recycling machine","Machine to shred and mold recycled plastic"
